F64832,F65600,F66371,F16584,F19086,F34704
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
1170,2950,2612,2294,2563,13993
2034,5065,3870,3154,3207,18429
1751,4000,3566,3246,3625,19906
2558,5976,5716,5076,5437,29585
1160,2825,3046,2966,3118,16631
1537,3907,3880,3647,3855,20246
2385,5862,5971,5596,6593,33781
1189,3039,3163,2767,3189,16994
1620,4058,3989,3624,4098,22175
3779,10833,9195,8005,8051,42548
4022,8095,7412,7524,9498,48806
2070,5002,4702,4103,4738,24737
1868,4535,4650,4281,4678,25827
3372,8580,6498,5668,5763,30874
2975,7859,6773,5939,6372,33633
2735,8589,7007,5836,4988,28555
415,951,996,938,1060,5616
5815,14401,9114,7506,6689,37599
1946,4864,4851,4732,5041,27770
2190,5149,4980,4611,5220,26862
2968,7876,7411,6450,6796,37121
3159,6960,4837,4429,4934,25995
5399,18316,17212,15620,13070,69891
2053,4574,5011,4941,5952,30549
3468,7399,7228,7144,8012,42358
4204,11810,9120,7257,7271,40371
1417,3339,3189,2822,3315,18045
2646,7570,6500,6567,5829,30887
1614,3897,4117,4184,4413,23164
2156,5643,6528,6588,7468,35966
1681,5180,5846,5478,5180,27296
1336,4020,4433,3781,3340,19750
1669,4336,5035,5145,5506,27583
1640,4229,4681,4732,4895,24568
3518,8240,7526,7400,7592,40187
1111,3035,3461,3471,3830,19127
1621,3544,3923,4136,5058,25078
1799,5361,5210,5362,4608,23617
635,1901,2678,2960,2554,12930
1214,3073,3485,3816,4350,21518
1589,3412,3479,3933,4740,23268
2137,5636,7579,7799,7455,37783
3758,11290,10363,9741,10052,49914
3901,9679,7262,6052,5841,32275
4553,12237,9086,7768,6796,36899
1481,3483,3287,3096,3383,19002
7336,17078,15043,13411,14556,80672
3551,8047,7729,7780,8526,46326
4183,9049,8999,9028,11220,56876
3948,9053,8857,8423,10085,51390
3605,8814,7875,7597,8548,46713
5437,12828,12235,11422,13981,72467
1504,3560,3654,3706,3911,20910
2700,6565,6458,6715,8005,40491
1655,3605,3996,4582,5275,26856
825,1658,1619,1879,2483,12551
570,1289,1267,1277,1569,8429
1568,4073,3839,4035,4736,23579
2660,7410,5567,4683,3578,20453
791,2025,2215,2641,2910,14037
961,2637,2615,2521,2720,14551
1877,4600,4554,4607,5334,27372
1453,3577,3725,4135,4835,23400
1095,2370,2358,2387,2525,14410
895,2023,1949,1779,1930,10924
1365,3085,3194,2966,3269,17157
858,1905,2026,1801,1951,11210
615,1332,1158,1130,1376,7649
1057,2230,2215,2289,2576,14367
1329,3121,3022,3090,3924,19447
888,2109,2144,1998,2352,12391
1197,2729,2967,2693,3177,16522
737,1594,1377,1366,1838,10078
1273,3190,2947,3005,3543,18240
1135,2605,2212,2207,2664,14419
1110,2556,2273,2212,2833,14593
1004,2354,2485,2699,3137,15720
1425,2936,2616,2490,3034,16499
2485,5886,4098,3709,3390,18394
794,1788,1962,1702,2144,11332
1108,2496,2166,2228,2350,13087
853,1975,1689,1524,1846,10603
1358,2914,2692,2667,3082,17193
646,1472,1309,1375,1553,8638
552,1228,1086,1136,1294,7314
443,1082,894,955,1122,6001
881,1954,1459,1489,1960,10674
823,1885,1514,1694,1875,9828
478,1143,959,982,1180,6160
1003,2291,1741,1854,2349,12393
857,1979,1681,1636,1782,9758
1267,2883,2845,2508,2620,14034
1021,2583,2520,2365,2682,13880
1047,2331,2307,2063,2418,13601
877,1815,1617,1398,1844,10653
1517,3139,3124,2746,3619,20148
1909,4764,4747,5023,5217,26883
1620,3861,3956,4007,4761,23762
696,1748,1710,1871,2084,10990
1027,2334,2068,1959,2448,12582
1792,4499,4949,4733,5474,27044
2432,5989,5317,5108,5310,27138
1288,3005,2817,3143,3575,18022
826,2088,2490,2450,2312,12513
606,1513,1219,1361,1732,8959
869,2078,1840,1940,2500,12494
1466,3362,2662,2535,3133,16845
805,1773,1751,1921,2357,12161
1440,4119,4426,4100,3664,19930
927,1892,1690,1642,2331,11699
1022,2165,1762,1685,2238,11802
1463,3628,3830,3564,3678,19372
1211,2666,2412,2654,3482,17088
837,2022,1877,2084,2536,12697
1591,4108,4766,4974,5428,28007
1284,2713,2475,2399,3209,16564
1336,3397,3394,3447,3862,19581
1227,2944,2583,2634,3200,16615
960,2402,2574,2334,2483,13214
822,2194,2219,2329,3173,14882
1450,3373,3100,2752,3037,17023
1729,4112,3575,3546,4324,23147
929,2825,2978,2986,3159,15382
1238,2789,2521,2642,3473,17468
1503,3243,2635,2791,3437,16949
1051,2545,2410,2560,2622,13915
1369,3619,3639,3925,4494,22224
1301,3064,3404,3963,4690,23114
920,2343,2331,2409,2697,13631
1158,2739,3224,3503,3962,19675
1150,2677,3176,4061,4767,22130
1005,2429,2536,2332,2256,12877
808,1855,1904,2121,2458,12429
724,1952,2577,2698,2498,12847
1593,3823,2781,2795,2576,14830
1361,2845,2766,2852,3341,17471
3135,6641,3893,3197,3424,19383
974,2685,2983,2979,2994,15438
1262,2886,2727,2682,2884,16135
987,2593,2552,2389,2578,13794
1699,4067,4182,4266,4578,24167
1098,2569,2567,2809,3342,17109
1234,2783,2547,2576,2861,15359
1633,3843,3789,3523,4040,21180
1659,3471,3197,2977,3245,17846
1319,2820,2679,2920,3866,18704
1082,2637,3177,3295,3827,19042
954,2265,2343,2094,2190,12247
1075,3085,3093,3057,3735,18164
767,1632,1776,1642,1979,10792
868,2110,2109,2024,2216,11872
2789,5756,3643,3349,3574,19482
785,2117,2145,2013,2137,11466
2157,5359,4164,3592,3471,19464
596,1382,1184,1098,1580,8320
741,1734,1757,1793,2029,10657
1209,3047,3026,2837,3489,17411
1647,3507,2605,2382,3081,16000
1244,2823,2410,2247,2545,14568
1083,2369,2105,2152,2765,13682
3130,7101,4118,3843,4274,22640
866,1761,1738,1886,2561,12906
1027,2550,2691,2774,3240,16597
552,1272,1194,1235,1423,7872
977,2262,2296,2392,3157,15218
1014,1205,986,943,1011,5678
681,1877,2111,1829,1864,9900
1427,3253,2843,2592,3120,17165
1923,4993,3738,3026,2723,15285
1140,2551,2604,2495,3098,16431
822,2220,2266,2185,2485,13100
1380,2967,3145,3208,3887,20041
1003,2082,1836,1827,2329,12442
1387,3690,3663,3268,3629,19544
1261,2811,2549,2918,3581,18262
1150,3027,2734,2276,2445,13712
1516,4100,4041,3600,3858,21238
983,2275,2201,1910,2226,12516
2072,6136,5656,4848,4151,22667
1252,2578,2685,2855,3530,17795
728,1862,2190,2067,1874,10649
839,1926,1727,1780,2354,12069
972,2015,1938,2109,2808,13678
1028,2336,2620,2670,3017,15054
2232,5946,6730,6811,6450,33086
893,1831,1716,1932,2673,13141
732,1620,1927,1979,2193,11067
544,1193,1132,1113,1403,7640
1002,2446,2178,1901,2250,12958
1604,3769,3908,3878,4606,24216
1162,2793,1875,1223,1415,7940
581,1136,1035,1047,1218,6998
1306,2979,2629,2186,2594,14447
895,2224,2124,2093,2599,13363
1450,3347,3404,3355,3676,19615
1352,3025,2939,2819,3302,17663
1202,3113,3015,2903,3344,17028
1166,2873,2745,2943,3254,16920
1246,3219,3283,3021,3151,17026
1283,2959,2949,2709,3341,17635
1129,2893,2360,2700,3361,16550
1514,3603,4179,4252,4410,23134
3223,8986,6267,4951,3545,21697
1391,3220,3459,3496,4139,21265
1313,2940,3253,3289,3597,18765
1186,2779,3010,2887,3196,16926
1277,2619,2479,2340,2933,15795
1267,3057,2812,2592,2945,16615
1809,4354,4135,3796,4312,23351
1247,3020,2995,2703,2981,16090
341,860,768,623,612,4028
1152,2950,2915,2757,3259,16615
1218,3136,3106,2983,3240,17368
1093,2727,2380,2468,3029,15289
1884,4191,3246,3114,3588,18695
1244,3057,2390,2223,2883,15490
1746,4198,3334,3185,3816,19958
1045,2471,2241,2193,2846,14772
896,2297,2419,2330,2584,12840
840,2034,1849,1953,2515,12661
534,2163,2412,2023,1900,10106
1537,3952,4802,4269,3970,21426
1021,2357,2275,2245,2780,14336
1172,3340,3639,3189,3318,18013
1261,2727,2400,2509,3153,16625
1205,2915,2720,2561,3051,15830
1063,2303,2570,3583,4392,20261
677,1642,1608,1835,2229,10773
1913,4780,4073,3983,4338,21523
795,1690,1751,1900,2355,12382
1282,3237,3476,4062,4395,21804
1101,2611,1867,2114,2424,11743
890,2259,2386,2505,2657,14242
833,1939,2057,2144,2556,13135
736,1905,1762,2033,2276,12163
1272,2447,2485,2809,3881,18111
778,1933,2541,2943,3276,15348
664,1614,1616,1453,1904,9780
1328,3324,3406,3331,3732,19073
975,2301,2719,2706,3095,15578
1107,2532,2537,2645,3300,17171
1619,5192,4082,4051,4296,21510
585,1406,1455,1506,1775,9021
1543,3552,3496,3271,3675,20113
1342,2983,2422,2340,2718,14791
907,2572,3339,3399,3100,16310
1285,2820,2729,2987,3672,19294
1342,3200,3564,3581,4221,21837
1031,2499,2612,2778,3075,15825
941,2331,2076,2009,2781,13765
765,1583,1392,1380,1777,9722
882,2327,2608,2768,2695,13629
1450,3329,3180,3139,3172,16575
1227,2659,2626,2504,3210,17033
1051,2481,2546,2395,2920,14822
2718,6899,6726,6161,7064,37260
1877,4586,4799,4704,5144,27311
6848,22475,19384,14587,10557,65741
2159,5042,5035,4494,5216,28003
2176,5314,5066,4667,5209,28080
3030,8543,9015,7113,6623,37744
2846,6838,6887,7499,8151,42217
2485,5989,5931,5863,6310,33745
2080,5054,5656,5881,6729,33201
3704,9511,9636,8932,10328,53584
1902,4669,4216,3595,3791,21615
7403,20977,17835,14241,11870,71726
2154,5145,5051,4669,5501,27955
3115,7970,7147,6299,6963,39130
3753,8715,8418,7736,8744,46764
2798,6421,6899,5934,7015,37632
3575,9218,9568,8346,8793,47520
2917,6906,6711,6151,7150,38565
9115,21529,14651,13800,14104,75654
2450,5610,6362,6062,6017,32499
5664,14859,9140,6963,6567,38015
2168,5188,5650,6242,6165,32433
1896,4546,3973,3808,3861,21985
3634,8882,7745,7211,7647,41807
9594,24471,22065,19344,18715,102984
4710,10226,8173,6800,6904,37689
3374,8026,8015,7604,8725,45801
2765,6790,7086,6410,6958,35944
2172,5031,4503,4306,5031,27449
2584,6478,6151,5447,6190,33368
2195,5587,5134,4626,5121,26921
4057,10324,10562,10247,10955,57357
2012,4886,4977,5130,5831,30582
4295,10669,9482,9216,10629,55176
10636,29270,23994,20898,20166,109357
3593,9006,9339,8229,9774,51790
1430,3605,3696,3248,3456,17639
2029,6745,9333,9345,8346,42551
2434,5867,5360,5252,5522,29971
922,4023,7228,6739,5263,27173
2516,6413,7022,8142,8716,43699
1818,5825,8819,8698,6682,34776
1993,5602,6860,7292,6873,36118
1289,5061,8671,9300,7541,37877
2062,6068,6811,6886,6497,33935
2036,5595,6208,7657,6699,31761
948,5361,11529,10501,6718,37417
889,5441,9370,7908,6227,32193
1367,5215,9580,10324,7978,39976
1031,3110,3665,3693,3207,17443
2572,6594,6121,5819,6063,32558
2426,5962,5336,5222,5282,28091
1290,4162,5968,6145,5672,27463
1304,5997,11130,9703,6536,37834
878,3018,6026,7006,5287,27107
1486,4244,4281,4843,5012,22932
977,7420,15323,13301,9441,51450
1372,5196,7499,8568,7327,34910
1059,3407,6627,7144,5931,29219
1006,4284,5904,5098,3782,21152
1112,3156,4130,4370,3855,20613
1243,3628,5049,6553,7439,32273
1389,6635,10915,10357,8020,41910
1619,4051,4760,5221,5358,26934
1058,6898,11560,9545,6040,35275
1232,4543,6798,6946,5948,30235
1304,6885,17384,16706,11828,60596
6182,14114,12819,12963,14235,75587
1299,4924,9661,9795,7390,38061
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
692,1960,1776,1757,1883,9871
1956,4446,3150,2898,3133,16895
1208,2948,2628,2603,2862,15559
1117,2603,2257,2013,2429,12964
1857,4551,4227,4019,4675,24032
1556,4034,4052,3910,4284,21722
2042,4152,1814,1583,1690,9344
1357,3418,2900,2681,2879,16661
2117,5341,4642,4314,4812,26093
3801,9511,7272,6611,6619,35746
1625,4052,4341,4162,4019,22236
1653,4144,4263,4158,4345,22910
1446,3509,3470,3438,3673,19036
5510,15500,12490,10162,9191,50810
3043,7573,6618,6657,6811,36348
2140,5397,5284,5220,5402,28779
900,2223,2052,1938,2063,11238
1094,2700,2650,2387,2461,13910
1000,2281,1937,1870,2360,13147
1783,4250,3744,3773,3734,20716
1388,3439,2958,2829,3312,18383
686,1949,1928,1662,1561,9249
